world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
94738.362304,7481,94738.355349,0.4668278694152832,0.5343909859657288,0.4668278694152832,0.5343909859657288,True,0.804878830909729
94738.362304,7481,94738.363228,0.4757332503795624,0.530092179775238,0.4757332503795624,0.530092179775238,True,0.8813156485557556
94738.362304,7481,94738.371677,0.4760759174823761,0.531129777431488,0.4760759174823761,0.531129777431488,True,0.8305189609527588
94738.387534,7482,94738.379098,0.4753676354885101,0.5308535695075989,0.4753676354885101,0.5308535695075989,True,0.7898908257484436
94738.387534,7482,94738.38722,0.4754000604152679,0.5313721895217896,0.4754000604152679,0.5313721895217896,True,0.871261477470398
94738.387534,7482,94738.39513,0.4781155884265899,0.5315950512886047,0.4781155884265899,0.5315950512886047,True,0.8148360848426819
94738.414346,7483,94738.403147,0.4787716865539551,0.5320185422897339,0.4787716865539551,0.5320185422897339,True,0.8058983087539673
94738.414346,7483,94738.411096,0.4805968999862671,0.531923770904541,0.4805968999862671,0.531923770904541,True,0.8196619153022766
94738.414346,7483,94738.419224,0.4790148138999939,0.5331327319145203,0.4790148138999939,0.5331327319145203,True,0.9141348600387572
94738.440711,7484,94738.427537,0.4830464720726013,0.5315398573875427,0.4830464720726013,0.5315398573875427,True,0.8130472898483276
94738.440711,7484,94738.435137,0.4817275404930115,0.5321478843688965,0.4817275404930115,0.5321478843688965,True,0.9221982955932616
94738.440711,7484,94738.443195,0.482409656047821,0.5310510396957397,0.482409656047821,0.5310510396957397,True,0.8772916197776794
94738.440711,7484,94738.451089,0.4791215360164642,0.5336306691169739,0.4791215360164642,0.5336306691169739,True,0.8766410946846008
94738.467996,7485,94738.459144,0.4785568714141845,0.5331041812896729,0.4785568714141845,0.5331041812896729,True,0.8603352904319763
94738.467996,7485,94738.467222,0.4801619052886963,0.5327585339546204,0.4801619052886963,0.5327585339546204,True,0.8772591352462769
94738.467996,7485,94738.475192,0.4794657826423645,0.5331149697303772,0.4794657826423645,0.5331149697303772,True,0.7764554023742676
94738.491319,7486,94738.483158,0.4782298803329468,0.5330697298049927,0.4782298803329468,0.5330697298049927,True,0.8445596098899841
94738.491319,7486,94738.491113,0.4808392524719238,0.5313959121704102,0.4808392524719238,0.5313959121704102,True,0.8229039907455444
94738.491319,7486,94738.499182,0.4808361530303955,0.531334400177002,0.4808361530303955,0.531334400177002,True,0.7832666039466858
94738.516084,7487,94738.50714,0.4815112352371216,0.5311046838760376,0.4815112352371216,0.5311046838760376,True,0.8229039907455444
94738.516084,7487,94738.515117,0.4833308160305023,0.5290631055831909,0.4833308160305023,0.5290631055831909,True,0.8535124063491821
94738.516084,7487,94738.523117,0.4834146797657013,0.5297421216964722,0.4834146797657013,0.5297421216964722,True,0.7591601014137268
94738.541787,7488,94738.531134,0.4823453426361084,0.5295807719230652,0.4823453426361084,0.5295807719230652,True,0.8201287984848022
94738.541787,7488,94738.543332,0.4845260679721832,0.5266457796096802,0.4845260679721832,0.5266457796096802,True,0.8233495950698853
94738.541787,7488,94738.551134,0.484245628118515,0.5260711312294006,0.484245628118515,0.5260711312294006,True,0.8642921447753906
94738.565905,7489,94738.559025,0.4845240414142608,0.5256576538085938,0.4845240414142608,0.5256576538085938,True,0.762473464012146
94738.565905,7489,94738.567052,0.4849477410316467,0.5255639553070068,0.4849477410316467,0.5255639553070068,True,0.7880406379699707
94738.565905,7489,94738.575054,0.4838062822818756,0.5271761417388916,0.4838062822818756,0.5271761417388916,True,0.8645450472831726
94738.592474,7490,94738.582985,0.4813075363636017,0.5265077948570251,0.4813075363636017,0.5265077948570251,True,0.8550237417221069
94738.592474,7490,94738.591044,0.4803268015384674,0.5238080620765686,0.4803268015384674,0.5238080620765686,True,0.8579996824264526
94738.592474,7490,94738.5992,0.4797906875610351,0.5231834053993225,0.4797906875610351,0.5231834053993225,True,0.8941107988357544
94738.620792,7491,94738.607066,0.4809132516384125,0.5225989818572998,0.4809132516384125,0.5225989818572998,True,0.7908750772476196
94738.620792,7491,94738.615016,0.4814940989017486,0.5211607813835144,0.4814940989017486,0.5211607813835144,True,0.8425230383872986
94738.620792,7491,94738.62316,-0.061152558773756,0.5918546319007874,-0.061152558773756,0.5918546319007874,False,0.2546166359559706
94738.620792,7491,94738.631061,0.4517875015735626,0.5052701234817505,0.4517875015735626,0.5052701234817505,True,0.7044243397735371
94738.646556,7492,94738.639132,0.3265583217144012,0.5317737460136414,0.3265583217144012,0.5317737460136414,True,0.2502663199721921
94738.646556,7492,94738.647091,0.1794792711734771,0.4001177549362182,0.1794792711734771,0.4001177549362182,True,0.2677701445780495
94738.646556,7492,94738.655817,0.1069971993565559,0.4455345571041107,0.1069971993565559,0.4455345571041107,True,0.1657246034769819
94738.67187,7493,94738.662998,-0.6930884122848511,0.411063402891159,-0.6930884122848511,0.411063402891159,False,0.1803611195302186
94738.67187,7493,94738.671312,-0.7015263438224792,0.329742282629013,-0.7015263438224792,0.329742282629013,False,0.1724849216600219
94738.67187,7493,94738.679075,0.9962167143821716,-0.3094684183597564,0.9962167143821716,-0.3094684183597564,False,0.848745538094941
94738.697979,7494,94738.687211,-0.7464919090270996,0.2967230677604675,-0.7464919090270996,0.2967230677604675,False,0.1702669525029524
94738.697979,7494,94738.694999,-1.0601980686187744,0.0996288061141967,-1.0601980686187744,0.0996288061141967,False,0.144718137122635
94738.697979,7494,94738.70318,1.2202391624450684,-0.253552496433258,1.2202391624450684,-0.253552496433258,False,0.7236124314651189
