world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
15204.770014,1911,15204.780453,0.6314554214477539,0.4277991056442261,0.6314554214477539,0.4277991056442261,True,0.9157158136367798
15204.793363,1912,15204.788404,0.6295797228813171,0.4268214404582977,0.6295797228813171,0.4268214404582977,True,0.8288314342498779
15204.793363,1912,15204.796452,0.6245827674865723,0.4306436777114868,0.6245827674865723,0.4306436777114868,True,0.9347675442695618
15204.793363,1912,15204.804472,0.6205798387527466,0.4348712563514709,0.6205798387527466,0.4348712563514709,True,0.9207048416137696
15204.822887,1913,15204.812446,0.6175900101661682,0.4385292530059814,0.6175900101661682,0.4385292530059814,True,0.9536132216453552
15204.822887,1913,15204.82043,0.6159927248954773,0.4434539973735809,0.6159927248954773,0.4434539973735809,True,0.9004468321800232
15204.822887,1913,15204.828609,0.6124206185340881,0.4426717758178711,0.6124206185340881,0.4426717758178711,True,0.8879348635673523
15204.847106,1914,15204.836413,0.6119518280029297,0.432613730430603,0.6119518280029297,0.432613730430603,True,0.8662086725234985
15204.847106,1914,15204.844529,0.6130730509757996,0.4249962866306305,0.6130730509757996,0.4249962866306305,True,0.8913164138793945
15204.847106,1914,15204.852368,0.6136635541915894,0.4190607368946075,0.6136635541915894,0.4190607368946075,True,0.9300469756126404
15204.869438,1915,15204.860456,0.6174736618995667,0.4247688353061676,0.6174736618995667,0.4247688353061676,True,0.8380580544471741
15204.869438,1915,15204.868512,0.6360347270965576,0.4445627927780151,0.6360347270965576,0.4445627927780151,True,0.8944334387779236
15204.869438,1915,15204.876535,0.648726224899292,0.4628338515758514,0.648726224899292,0.4628338515758514,True,0.9228439331054688
15204.894218,1916,15204.884496,0.6433261632919312,0.4800917208194732,0.6433261632919312,0.4800917208194732,True,0.9148446917533876
15204.894218,1916,15204.892523,0.6403546929359436,0.4991501867771148,0.6403546929359436,0.4991501867771148,True,0.9611592292785645
15204.894218,1916,15204.90061,0.6366546154022217,0.5051784515380859,0.6366546154022217,0.5051784515380859,True,0.9004710912704468
15204.917727,1917,15204.908579,0.6351218819618225,0.519285261631012,0.6351218819618225,0.519285261631012,True,0.9481770396232604
15204.917727,1917,15204.916445,0.6349876523017883,0.5230839252471924,0.6349876523017883,0.5230839252471924,True,0.8988040089607239
15204.917727,1917,15204.924446,0.6329867839813232,0.5228505730628967,0.6329867839813232,0.5228505730628967,True,0.9158722758293152
15204.940971,1918,15204.932439,0.6345948576927185,0.5220243334770203,0.6345948576927185,0.5220243334770203,True,0.8575366139411926
15204.940971,1918,15204.940433,0.6362990140914917,0.5179793834686279,0.6362990140914917,0.5179793834686279,True,0.8341339230537415
15204.940971,1918,15204.948484,0.6360116004943848,0.5091376900672913,0.6360116004943848,0.5091376900672913,True,0.870958685874939
15204.964047,1919,15204.956433,0.6359203457832336,0.500739336013794,0.6359203457832336,0.500739336013794,True,0.933739185333252
15204.964047,1919,15204.964824,0.6402871012687683,0.4954997301101684,0.6402871012687683,0.4954997301101684,True,0.8475680947303772
15204.964047,1919,15204.972404,0.6443609595298767,0.4897337257862091,0.6443609595298767,0.4897337257862091,True,0.8657764792442322
15204.987341,1920,15204.980532,0.647754967212677,0.4820813536643982,0.647754967212677,0.4820813536643982,True,0.9133610129356384
15204.987341,1920,15204.988405,0.6509140133857727,0.4760617613792419,0.6509140133857727,0.4760617613792419,True,0.8463310599327087
15204.987341,1920,15204.996691,0.6514611840248108,0.4739038944244385,0.6514611840248108,0.4739038944244385,True,0.8369418978691101
15205.011997,1921,15205.004467,0.6522981524467468,0.4705121517181396,0.6522981524467468,0.4705121517181396,True,0.8739844560623169
15205.011997,1921,15205.012558,0.6509703993797302,0.4638502895832062,0.6509703993797302,0.4638502895832062,True,0.8873615860939026
15205.034742,1922,15205.025379,0.6527355909347534,0.4597035348415375,0.6527355909347534,0.4597035348415375,True,0.8863210678100586
15205.034742,1922,15205.03044,0.6548885703086853,0.4558053314685821,0.6548885703086853,0.4558053314685821,True,0.8705868124961853
15205.034742,1922,15205.036409,0.6555235981941223,0.4630024433135986,0.6555235981941223,0.4630024433135986,True,0.8600273728370667
15205.034742,1922,15205.044492,0.6318533420562744,0.4735986888408661,0.6318533420562744,0.4735986888408661,True,0.8699551224708557
15205.056441,1923,15205.052397,0.5758389234542847,0.4883244633674621,0.5758389234542847,0.4883244633674621,True,0.99
15205.056441,1923,15205.060499,0.5232624411582947,0.484154611825943,0.5232624411582947,0.484154611825943,True,0.99
15205.080351,1924,15205.073221,0.5022354125976562,0.4972712695598602,0.5022354125976562,0.4972712695598602,True,0.8721231818199158
15205.080351,1924,15205.080411,0.4944891631603241,0.5039856433868408,0.4944891631603241,0.5039856433868408,True,0.8723819255828857
15205.080351,1924,15205.088464,0.4992694556713104,0.5178061127662659,0.4992694556713104,0.5178061127662659,True,0.8930248022079468
15205.105492,1925,15205.096426,0.5000408887863159,0.5219087600708008,0.5000408887863159,0.5219087600708008,True,0.8885796070098877
15205.105492,1925,15205.104433,0.4960383474826813,0.5180639624595642,0.4960383474826813,0.5180639624595642,True,0.899262011051178
15205.105492,1925,15205.112484,0.4951179325580597,0.5212534666061401,0.4951179325580597,0.5212534666061401,True,0.8870977163314819
15205.13056,1926,15205.120467,0.4946334362030029,0.5217190980911255,0.4946334362030029,0.5217190980911255,True,0.9136147499084472
15205.13056,1926,15205.128526,0.49715256690979,0.5163452625274658,0.49715256690979,0.5163452625274658,True,0.9446061849594116
15205.155221,1927,15205.143702,0.4955301284790039,0.4940703511238098,0.4955301284790039,0.4940703511238098,True,0.8533458709716797
15205.155221,1927,15205.14947,0.4961968660354614,0.4857803583145141,0.4961968660354614,0.4857803583145141,True,0.9333075284957886
15205.155221,1927,15205.153817,0.4975188672542572,0.4711532294750213,0.4975188672542572,0.4711532294750213,True,0.93458753824234
15205.155221,1927,15205.160491,0.5027139782905579,0.46071457862854,0.5027139782905579,0.46071457862854,True,0.8813819289207458
15205.177854,1928,15205.168404,0.5006325244903564,0.4533343315124511,0.5006325244903564,0.4533343315124511,True,0.8736816644668579
15205.177854,1928,15205.176508,0.4979750216007232,0.4542480111122131,0.4979750216007232,0.4542480111122131,True,0.8962787985801697
